trip_distance_id,trip_distance
0,2.5
1,2.9
2,19.98
3,10.78
4,30.43
5,5.92
6,5.72
7,6.2
8,0.7
9,7.18
10,0.54
11,1.7
12,1.1
13,2.1
14,8.54
15,2.0
16,3.2
17,1.59
18,16.81
19,0.5
20,0.6
21,9.9
22,0.8
23,0.49
24,5.31
25,3.5
26,9.14
27,2.17
28,18.03
29,1.0
30,11.53
31,4.26
32,2.66
33,2.4
34,3.7
35,1.3
36,9.2
37,0.79
38,0.95
39,6.9
40,3.11
41,3.8
42,2.8
43,1.21
44,1.31
45,2.7
46,5.39
47,2.82
48,2.07
49,7.7
50,5.1
51,3.34
52,2.69
53,0.71
54,1.42
55,4.28
56,1.84
57,3.95
58,3.65
59,9.46
60,0.48
61,19.35
62,11.25
63,2.2
64,4.65
65,1.8
66,10.34
67,6.8
68,1.4
69,6.3
70,5.52
71,3.4
72,9.79
73,1.04
74,10.2
75,2.54
76,1.32
77,1.51
78,1.16
79,0.89
80,7.06
81,5.57
82,0.99
83,2.81
84,2.45
85,2.61
86,0.73
87,1.92
88,3.25
89,4.83
90,2.46
91,2.85
92,4.33
93,5.06
94,9.5
95,0.55
96,1.5
97,1.2
98,5.4
99,1.43
100,2.99
101,0.46
102,2.91
103,0.9
104,4.76
105,4.51
106,2.3
107,5.66
108,1.47
109,18.34
110,1.74
111,20.2
112,3.37
113,18.95
114,3.32
115,3.9
116,0.2
117,7.91
118,10.0
119,1.07
120,9.1
121,18.9
122,0.58
123,2.59
124,5.98
125,0.42
126,9.55
127,0.35
128,8.97
129,3.49
130,1.53
131,3.77
132,1.65
133,1.96
134,1.6
135,5.14
136,2.51
137,18.3
138,3.3
139,0.93
140,3.22
141,2.23
142,4.44
143,11.43
144,1.37
145,2.38
146,1.91
147,2.31
148,1.33
149,4.09
150,4.14
151,6.94
152,0.92
153,2.36
154,1.56
155,2.19
156,3.87
157,1.13
158,1.19
159,1.22
160,1.03
161,0.85
162,4.94
163,1.15
164,2.77
165,2.72
166,0.41
167,0.75
168,1.62
169,0.88
170,4.84
171,0.3
172,17.49
173,1.63
174,1.02
175,3.17
176,11.15
177,12.59
178,2.67
179,0.83
180,0.53
181,18.04
182,3.28
183,2.05
184,0.94
185,0.72
186,1.18
187,1.57
188,4.85
189,0.56
190,2.58
191,2.89
192,2.55
193,0.61
194,1.06
195,1.26
196,3.05
197,12.92
198,1.28
199,2.01
200,5.54
201,0.86
202,15.18
203,3.14
204,3.13
205,2.94
206,4.79
207,2.53
208,2.02
209,4.21
210,0.67
211,6.38
212,1.08
213,7.4
214,1.29
215,1.41
216,1.34
217,7.45
218,5.59
219,2.04
220,1.36
221,3.62
222,0.77
223,1.12
224,2.44
225,3.38
226,10.17
227,1.23
228,4.19
229,2.28
230,3.54
231,2.09
232,1.95
233,2.08
